name,rating,reviews,details,highly_rated,critically_rated
Jana Small Finance Bank,3.8,(6.2k),Banking | Bangalore / Bengaluru +376 other locations,None,"Skill Development / Learning, Company Culture, Job Security"
Optum Global Solutions,4.0,(6.2k),IT Services & Consulting | Hyderabad / Secunderabad +43 other locations,"Job Security, Work Life Balance, Company Culture","Job Security, Work Life Balance, Company Culture"
Lupin,4.1,(6.1k),Pharma | Pune +184 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Hexaware Technologies,3.5,(6.1k),IT Services & Consulting | Chennai +58 other locations,None,"Skill Development / Learning, Company Culture, Work Life Balance"
L&T Construction,4.0,(6.1k),Engineering & Construction | Chennai +382 other locations,"Job Security, Skill Development / Learning, Salary & Benefits","Job Security, Skill Development / Learning, Salary & Benefits"
Zydus Lifesciences,4.1,(6.1k),Pharma | Ahmedabad +161 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",None
Equitas Small Finance Bank,4.5,(6k),Banking | Chennai +424 other locations,"Job Security, Company Culture, Work Life Balance",None
JSW Steel,3.9,(6k),Iron & Steel | Ballari +165 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
Sun Pharmaceutical Industries,4.0,(5.9k),Pharma | Vadodara +229 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",None
ITC,3.9,(5.7k),FMCG | Bangalore / Bengaluru +342 other locations,"Job Security, Skill Development / Learning","Job Security, Skill Development / Learning"
KPMG India,3.5,(5.6k),Management Consulting | Bangalore / Bengaluru +98 other locations,None,"Job Security, Skill Development / Learning"
FIS,3.9,(5.6k),IT Services & Consulting | Pune +53 other locations,"Work Life Balance, Company Culture","Work Life Balance, Company Culture"
HCL Group,3.6,(5.6k),IT Services & Consulting | Chennai +87 other locations,Job Security,Job Security
Axis Max Life Insurance,4.1,(5.5k),Insurance | New Delhi +441 other locations,"Company Culture, Job Security, Skill Development / Learning",None
Ujjivan Small Finance Bank,4.1,(5.5k),Banking | Bangalore / Bengaluru +487 other locations,"Company Culture, Work Life Balance, Job Security",None
Ekart Logistics,3.9,(5.4k),Bangalore / Bengaluru +675 other locations,Skill Development / Learning,Skill Development / Learning
Tata Projects,4.2,(5.4k),Engineering & Construction | Mumbai +257 other locations,"Job Security, Salary & Benefits, Company Culture",None
Oracle,3.7,(5.3k),Software Product | Bangalore / Bengaluru +51 other locations,"Work Life Balance, Job Security","Work Life Balance, Job Security"
Indian Army,4.7,(5.3k),Defence & Aerospace | New Delhi +342 other locations,"Job Security, Company Culture, Work Satisfaction",None
IIFL Finance,4.0,(5.3k),NBFC | Mumbai +737 other locations,"Work Life Balance, Company Culture, Job Security",None
Megha Engineering & Infrastructures,3.9,(5.2k),Engineering & Construction | Hyderabad / Secunderabad +345 other locations,Job Security,Job Security
Muthoot Finance,3.6,(5.1k),NBFC | Bangalore / Bengaluru +703 other locations,None,Job Security
eClerx,3.3,(5.1k),IT Services & Consulting | Pune +26 other locations,None,Job Security
Udaan,4.0,(5.1k),Internet | Bangalore / Bengaluru +346 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning","Salary & Benefits, Work Life Balance, Skill Development / Learning"
